,day,avarage_hk,maximum_hk,minimum_hk,day,lowest_five_kospi2,day,highest_five_kospi2
0,2004-03-31,7343.53988004136,647562.0,0.139,2004-03-31,0.81,2004-03-31,214500.0
1,2004-04-30,7251.51337927463,690467.0,0.151,2004-04-30,0.63,2004-04-30,200000.0
2,2004-05-31,8263.95995983511,1443639.0,0.141,2004-05-31,0.657,2004-05-31,223000.0
3,2004-06-30,8957.57033917531,2111706.0,0.141,2004-06-30,0.62,2004-06-30,223297.0
4,2004-08-31,8774.42085699586,1789191.0,0.156,2004-08-31,0.473,2004-08-31,241000.0
5,2004-09-30,10794.452801236,3109968.0,0.154,2004-09-30,0.493,2004-09-30,251000.0
6,2004-11-30,10995.6282876289,2706824.0,0.203,2004-11-30,0.503,2004-11-30,333500.0
7,2004-12-31,22.445623703703,640.81,0.215,2004-12-31,0.477,2004-12-31,230.64
8,2005-01-31,12172.6073230767,3167560.0,0.205,2005-01-31,0.457,2005-01-31,399000.0
9,2005-02-28,39302.9979551121,6027962.0,0.22,2005-02-28,0.51,2005-02-28,406000.0
10,2005-03-31,16316.9873799794,6411909.0,0.263,2005-03-31,0.485,2005-03-31,464947.0
11,2005-05-31,16936.7410154166,7294986.0,0.18,2005-05-31,0.424,2005-05-31,388476.0
12,2005-06-30,18045.2097505112,7771919.0,0.12,2005-06-30,0.456,2005-06-30,480000.0
13,2005-08-31,15761.8106265304,5493241.0,0.265,2005-08-31,0.42,2005-08-31,435888.0
14,2005-09-30,18768.6436102566,6856379.0,0.17,2005-09-30,0.409,2005-09-30,563000.0
15,2005-10-31,17612.9454542651,6042565.0,0.12,2005-10-31,0.378,2005-10-31,553654.0
16,2005-11-30,17580.2577027579,5391514.0,0.16,2005-11-30,0.39,2005-11-30,540000.0
17,2006-01-31,56959.2426229508,4882881.0,399.0,2006-01-31,649.0,2006-01-31,593000.0
18,2006-02-28,22474.4586216564,4862536.0,0.162,2006-02-28,0.37,2006-02-28,620000.0
19,2006-03-31,13186.5114859882,5004953.0,0.149,2006-03-31,0.242,2006-03-31,577000.0
20,2006-05-31,4.28170297029703,38.01,0.176,2006-05-31,0.517,2006-05-31,20.02
21,2006-06-30,12027.5052035012,4313212.0,0.184,2006-06-30,0.3,2006-06-30,454241.0
22,2006-07-31,11642.8142618208,4414938.0,0.221,2006-07-31,0.28,2006-07-31,451182.0
23,2006-08-31,12918.8404271638,5452550.0,0.218,2006-08-31,0.304,2006-08-31,567419.0
24,2006-10-31,14191.7104006995,6551199.0,0.19,2006-10-31,0.271,2006-10-31,689773.0
25,2006-11-30,14490.4556805552,6388436.0,0.228,2006-11-30,0.414,2006-11-30,744000.0
26,2007-01-31,14984.4776726394,7975372.0,0.213,2007-01-31,0.336,2007-01-31,556713.0
27,2007-02-28,28021.7206764044,10823720.0,0.298,2007-02-28,0.566,2007-02-28,582713.0
28,2007-04-30,20303.3020332181,13061707.0,0.296,2007-04-30,0.719,2007-04-30,800000.0
29,2007-05-31,28408.7528332172,22135727.0,0.316,2007-05-31,0.818,2007-05-31,909000.0
30,2007-07-31,39811.9873287772,35319506.0,0.23,2007-07-31,0.891,2007-07-31,898000.0
31,2007-08-31,37804.8015661668,32633921.0,0.396,2007-08-31,0.947,2007-08-31,985000.0
32,2007-10-31,57817.5699521199,57780758.0,0.34,2007-10-31,0.933,2007-10-31,1267186.0
